
Farinha láctea de cereais,Colher de sopa,7.5,gramas,415,3,78,11.9,5.8,3.3,1.9,125,24.3,196,8.7,492,366,58,1.43,1.13,9.50
Massa de lasanha cozida,Fatia,100,gramas,164,60,33,5.8,1.2,0.6,1.6,207,NULL,10,1.2,NULL,54,4,0.04,NULL,3.96
Massa de lasanha crua,Porção,101,gramas,220,45,45,7.0,1.3,0.5,1.6,667,NULL,17,1.9,NULL,137,13,0.08,NULL,NULL
Macarrão instantâneo cru,Pacote,80,gramas,436,6,62,8.8,17.2,NULL,5.6,1516,NULL,18,0.8,NULL,148,19,1.18,0.04,9.37
Macarrão de trigo cru,Porção,80,gramas,371,10,78,10.0,1.3,NULL,2.9,7,NULL,17,0.9,NULL,147,28,0.18,0.02,3.57
Macarrão de trico com ovos,Porção,80,gramas,371,11,77,10.3,2.0,0.5,2.3,15,NULL,19,0.9,NULL,134,NULL,0.11,0.05,4.37
Amido de milho cru (Maisena),Colher de sopa,20,gramas,361,12,87,0.6,NULL,NULL,0.7,8,NULL,1,0.1,NULL,9,3,NULL,NULL,NULL
Fubá,Colher de sopa,20,gramas,353,11,79,7.2,1.9,0.4,4.7,NULL,NULL,3,0.9,13,168,41,0.25,NULL,0.75
Milho verde cru,Colher de sopa,20,gramas,138,64,29,6.6,0.6,0.2,3.9,1,NULL,2,0.4,16,185,33,0.30,NULL,NULL
Milho verde enlatado sem a água,Colher de sopa,24,gramas,98,76,17,3.2,2.4,0.6,4.6,260,1.7,2,0.6,24,162,20,NULL,0.05,3.74
Pó para preparo de mingau,Colher de sopa,37,gramas,373,8,89,0.6,0.4,0.1,0.9,15,NULL,522,42.0,1533,NULL,4,3.41,NULL,19.39
Pamonha,Barra,100,gramas,171,61,31,2.6,4.8,0.5,2.4,132,NULL,4,0.4,NULL,125,15,NULL,NULL,NULL
Pão de aveia,Fatia,25,gramas,343,20,60,12.4,5.7,1.1,6.0,606,NULL,109,4.7,NULL,210,57,0.09,0.03,NULL
Pão de soja,Fatia,25,gramas,309,26,57,11.3,3.6,0.7,5.7,663,NULL,90,3.3,NULL,296,48,0.07,0.04,NULL
Pão de glúten,Fatia,25,gramas,253,41,44,12.0,2.7,0.5,2.5,22,NULL,156,5.7,NULL,65,24,0.04,0.03,NULL
Pão de milho,Fatia,25,gramas,292,30,56,8.3,3.1,0.6,4.3,507,NULL,78,3.0,NULL,89,29,0.08,NULL,NULL
Pão de trigo em forma integral,Fatia,25,gramas,253,35,50,9.4,3.7,0.7,6.9,506,NULL,132,3.0,NULL,163,60,0.08,0.04,NULL
Pão francês,Unidade,50,gramas,300,28,59,8.0,3.1,1.0,2.3,648,NULL,16,1.0,3,142,25,0.39,0.67,2.34
Pão de trigo sovado,Fatia,50,gramas,311,26,61,8.4,2.8,0.8,2.4,431,NULL,52,2.3,NULL,91,22,0.08,0.04,NULL
Pastel de carne cru,Unidade média,32,gramas,289,34,42,10.7,8.8,3.7,1.0,1309,NULL,17,2.0,NULL,166,18,0.06,0.03,1.58
Pastel de carne frito,Unidade média,32,gramas,388,23,44,10.1,20.1,4.8,1.0,1040,NULL,13,2.5,NULL,156,14,0.06,0.05,1.83
Pastel de queijo cru,Unidade média,24,gramas,308,31,46,9.9,9.6,NULL,1.1,985,NULL,155,1.0,NULL,103,16,0.07,0.03,NULL
Pastel de quejo frito,Unidade média,25,gramas,422,18,48,8.7,22.7,NULL,0.9,821,NULL,126,1.3,18,124,15,0.09,0.04,NULL
Massa de patel crua,Unidade,20,gramas,310,27,57,6.9,5.5,2.1,1.4,1344,NULL,13,1.1,NULL,167,14,0.15,NULL,NULL
Massa de pastel frita,Unidade,20,gramas,570,1,49,6.0,40.9,6.9,1.3,1175,NULL,11,1.4,NULL,143,13,0.16,NULL,NULL
Pipoca com óleo de soja sem sal,Saco médio,20,gramas,448,3,70,9.9,15.9,2.4,14.3,4,NULL,3,1.2,NULL,256,91,0.03,0.03,NULL
Polenta pré-cozida,Colher de sopa,20,gramas,103,73,23,2.3,0.3,NULL,2.4,442,NULL,1,NULL,NULL,100,4,0.04,NULL,NULL
Torrada de pão francês,Unidade,8,gramas,377,9,75,10.5,3.3,0.9,3.4,829,NULL,19,1.2,NULL,189,32,0.38,NULL,NULL
Abóbora cabotian cozida,Colher de sopa,36,gramas,48,86,11,1.4,0.7,0.1,2.5,1,7.5,8,0.3,NULL,199,9,0.08,NULL,NULL
Abóbora cabotian cozida com sal,Colher de sopa,36,gramas,48,86,11,1.4,0.7,0.1,2.5,400,7.5,8,0.3,NULL,199,9,0.08,NULL,NULL
Abóbora moranga refogada,Colher de sopa,36,gamas,29,92,6,0.4,0.8,0.1,1.5,3,6.7,19,0.1,48,183,7,0.05,NULL,NULL
Abobrinha italiana cozida,Colher de sopa,20,gramas,15,95,3,1.1,0.2,0.1,1.6,1,2.1,17,0.2,NULL,126,17,0.05,NULL,NULL
Abobrinha italiana refugada,Colher de sopa,20,gramas,24,93,4,1.1,0.8,0.1,1.4,2,7.5,21,0.4,21,194,13,0.04,NULL,NULL
Abóbora moranga refogada com sal,Colher de sopa,36,gamas,29,92,6,0.4,0.8,0.1,1.5,400,6.7,19,0.1,48,183,7,0.05,NULL,NULL
Abobrinha italiana cozida com sal,Colher de sopa,20,gramas,15,95,3,1.1,0.2,0.1,1.6,400,2.1,17,0.2,NULL,126,17,0.05,NULL,NULL
Abobrinha italiana refugada com sal,Colher de sopa,20,gramas,24,93,4,1.1,0.8,0.1,1.4,400,7.5,21,0.4,21,194,13,0.04,NULL,NULL
Acelga crua,Colher de sopa,6,gramas,21,93,5,1.4,0.1,NULL,1.1,1,22.6,43,0.3,NULL,240,10,0.04,NULL,NULL
Ãgrião cru,Colher de sopa,7,gramas,17,94,2,2.7,0.2,NULL,2.1,7,60.1,133,3.1,229,218,18,0.11,0.23,1.19
Aipo cru,Colher de sopa,10,gramas,19,94,4,0.8,0.1,NULL,1.0,10,5.9,65,0.7,458,274,9,NULL,NULL,NULL
Alface americana crua,Pires,20,gramas,9,97,2,0.6,0.1,NULL,1.0,7,11.0,14,0.3,NULL,136,6,0.03,NULL,NULL
Alface crespa crua,Pires,20,gramas,11,96,2,1.3,0.2,NULL,1.8,3,15.6,38,0.4,117,267,11,0.11,0.12,1.09
Alfase lisa crua,Pires,20,gramas,14,95,2,1.7,0.1,NULL,2.3,4,21.4,28,0.6,184,349,9,0.09,0.08,0.75
Alface lisa crua,Pires,20,gramas,13,96,2,0.9,0.2,NULL,2.0,7,13.5,34,2.5,156,308,9,NULL,NULL,NULL
Alfavaca crua,Pires,10,gramas,29,90,5,2.7,0.5,0.1,4.1,5,NULL,258,1.3,NULL,261,84,NULL,0.12,NULL
