Ameixa crua,Unidade média,16,gramas,53,85,14,0.8,NULL,NULL,2.4,NULL,7.6,6,0.1,14,134,5,0.07,NULL,NULL
Ameixa em calda,Unidade média,42,gramas,183,52,47,0.4,NULL,NULL,0.5,3,4.3,13,2.2,NULL,221,10,NULL,0.23,NULL
Ameixa em calda enlatada drenada,Unidade média,20,gramas,177,50,48,1.0,0.3,0.1,4.5,3,5.2,39,2.7,NULL,263,14,NULL,0.22,NULL
Amêndoa torrada salgada,Unidade média,1,gramas,581,3,30,18.6,47.3,4.8,11.6,279,NULL,237,3.1,NULL,640,222,0.29,0.16,NULL
Amendoim grão cru,Colher de sopa,17,gramas,544,6,20,27.2,43.9,8.7,8.0,NULL,NULL,NULL,2.5,NULL,580,171,0.10,0.03,10.18
Amendoim torrado salgado,Colher de sopa,17,gramas,606,2,19,22.5,54.0,9.7,7.8,376,NULL,39,1.3,NULL,496,159,0.08,NULL,7.47
Amido de milho cru (Maisena),Colher de sopa,20,gramas,361,12,87,0.6,NULL,NULL,0.7,8,NULL,1,0.1,NULL,9,3,NULL,NULL,NULL
Apresuntado,Fatia,15,gramas,129,74,3,13.5,6.7,1.9,NULL,943,NULL,23,0.9,NULL,270,15,0.62,0.04,0.70
Arroz carreteiro preparado com adição de sal,Colher de sopa,30,gramas,154,68,12,10.8,7.1,3.2,1.5,1622,NULL,13,1.0,NULL,87,9,0.03,NULL,1.60
Arroz integral cozido com adição de pouco sal,Colher de sopa,30,gramas,124,70,26,2.6,1.0,0.3,2.7,188,NULL,5,0.3,NULL,75,59,0.08,NULL,NULL
Arroz integral cozido sem adição de sal,Colher de sopa,30,gramas,124,70,26,2.6,1.0,0.3,2.7,1,NULL,5,0.3,NULL,75,59,0.08,NULL,NULL
Arroz integral cru,Xicara,100,gramas,360,12,77,7.3,1.9,0.3,4.8,2,NULL,8,0.9,NULL,173,110,0.26,NULL,4.18
Arroz polido cozido com adição de pouco sal,Colher de sopa,30,gramas,128,69,28,2.5,0.2,0.2,1.6,189,NULL,4,0.1,NULL,15,2,NULL,NULL,NULL
Arroz polido cozido sem adição de sal,Colher de sopa,30,gramas,128,69,28,2.5,0.2,0.2,1.6,1,NULL,4,0.1,NULL,15,2,NULL,NULL,NULL
Arroz polido cru,Xicara,100,gramas,358,13,79,7.2,0.3,0.1,1.6,1,NULL,4,0.7,NULL,62,30,0.16,NULL,1.12
Asa de frango com pele crua,Unidade média,40,gramas,213,67,0,18.1,15.1,4.4,NULL,96,NULL,11,0.6,10,211,23,0.11,0.04,2.58
Atemóia crua,Unidade,500,gramas,97,73,25,1.0,0.3,0.1,2.1,1,10.1,23,0.2,NULL,300,25,0.09,0.07,1.58
Atum conserva em óleo,Colher de sopa,45,gramas,166,65,0,26.2,6.0,1.0,NULL,362,NULL,7,1.2,NULL,280,29,0.15,0.03,3.17
Atum freso cru,Posta,100,gramas,118,73,0,25.7,0.9,0.5,NULL,30,NULL,7,1.3,20,308,32,NULL,0.04,5.94
Aveia flocos crua,Colher de sopa,15,gramas,394,9,67,13.9,8.5,1.5,9.1,5,1.4,48,4.4,NULL,336,119,0.55,0.03,4.47
Azeite de dendê,Colher de sopa,8,mL,884,NULL,NULL,NULL,100.0,43.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Azeite de oliva extra virgem,Colher de sopa,8,mL,884,NULL,NULL,NULL,100.0,14.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Azeitona preta em conserva,Unidade média,3,gramas,194,68,6,1.2,20.3,3.5,4.6,1567,NULL,59,5.5,NULL,79,5,NULL,NULL,NULL
Azeitona verde em conserva,Unidade média,4,gramas,137,76,4,0.9,14.2,2.3,3.8,1347,NULL,46,0.2,NULL,20,4,NULL,NULL,NULL
Banana ouro crua,Unidade média,80,gramas,112,68,29,1.5,0.2,NULL,2.0,NULL,7.6,3,0.3,25,355,28,NULL,NULL,NULL
Bacalhau salgado cru,Colher de sopa,15,gramas,136,48,0,29.0,1.3,0.6,NULL,13585,NULL,157,0.9,NULL,434,49,NULL,0.21,NULL
Bacalhau salgado refogado,Colher de sopa,15,gramas,140,66,1,24.0,3.6,0.9,NULL,1256,NULL,59,0.2,NULL,50,15,0.03,0.05,5.17
Baião de dois sendo arroz e feijão-de-corda preparado sem adição de sal,Escumadeira,100,gramas,136,69,20,6.2,3.2,0.6,5.1,93,NULL,33,0.6,NULL,157,19,0.04,NULL,NULL
Banana da terra crua descascada,Pedaço pequeno,30,gramas,128,64,34,1.4,0.2,NULL,1.5,NULL,15.7,4,0.3,119,328,24,0.03,0.02,NULL
Banana figo crua descascada,Unidade média,100,gramas,105,70,28,1.1,0.1,NULL,2.8,NULL,17.5,6,0.2,NULL,387,30,0.09,NULL,NULL
